genres,profit_million
Family,21.469841390728476
Fantasy,16.90356175435203
Music,15.98224450310559
Musical,13.970168349514562
Adventure,13.527463621383648
Sport,11.694724782894736
Mystery,10.301744217948718
Romance,9.913119788288288
Comedy,8.207765524818
Biography,7.887721860655738
Documentary,6.838889567164179
Action,5.326125411340206
Thriller,4.760458889380532
Animation,0.9390522914572864
Short,0.909267
Crime,0.8842284680555555
Western,0.48052993548387096
Film-Noir,-2.292073
Drama,-3.1663815900050993
History,-10.348390641025642
Sci-Fi,-14.735249279441119
Horror,-17.63780065491184
War,-22.936263790123455
Game-Show,
News,
Reality-TV,
